unidade;localizacao;status;total_impresso
ALMADA;CORREDOR;Ativa;22708
ALMADA;CORREDOR VLA / ALMADA CORREDOR;Ativa;25199
ALMOX;CORREDOR;Ativa;42105
ALOJAMENTO;SALA-PRAE;Ativa;11578
ALOJAMENTO;CORREDOR - 2 PISO / CI SALA-A101;Ativa;22322
ALOJAMENTO;CORREDOR - 2 PISO / CI SALA-A113;Ativa;17843
JU;SALA-C102 / SALA-C123;Ativa;42899
JU;SALA-C105;Ativa;10272
JU;SALA-C110 / SALA-C308;Ativa;14838
JU;SALA-C111;Ativa;37778
JU;SALA-C123 / SALA-C301;Ativa;109786
JU;SALA-C123-PROF;Ativa;97962
JU;SALA-C123-PROTOCOLO;Ativa;29109
JU;SALA-C201;Ativa;10577
JU;SALA-C216;Ativa;45432
JU;SALA-C310 BIBLIOTECA;Ativa;8324
JU;SALA-C313 / Empréstimo-067B;Empréstimo;8908
JU;SALA-C313 / Empréstimo-06FM / SALA-C002;Ativa;12895
JU;SALA-G007;Ativa;19174
JU;SALA-G012;Ativa;5281
JU;SALA-G102;Ativa;16327
JU;SALA-G105;Ativa;29008
JU;SALA-G106;Ativa;28546
JU;SALA-G107;Ativa;26159
JU;SALA-G108;Ativa;25155
JU;SALA-G201;Ativa;49682
JU;SALA-G202;Ativa;92945
JU;SALA-G214;Ativa;19737
JU;SALA-ST002;Ativa;30659
PTI;B01E03S02;Ativa;7448
PTI;B01E04S12;Ativa;42245
PTI;B03E02S05;Ativa;28738
PTI;B04E02S09;Ativa;29203
PTI;B04E02S13;Ativa;29913
PTI;B04E03S05;Ativa;65727
PTI;B06E01CO;Ativa;90932
PTI;B06E01S01;Ativa;27802
PTI;B06E03CO;Ativa;128635
PTI;B06E04CO;Ativa;83163
PTI;B06E04S02 - RECOLHIDA / B09E04S02 ;Disponível;30364
PTI;B06E04S11 - RECOLHIDA / B09E04S02 ;Disponível;31738
PTI;CORREDOR - 3 PISO / Disponível PTI;Disponível;27900
PTI;B09E04S02 / Empréstimo-069M;Empréstimo;1347
PTI;B09E04S02 / Empréstimo-06GM;Empréstimo;12557
PTI;BIUNILA-DIR;Ativa;23300
PTI;BIUNILA-ESQ;Ativa;12915
PTI;LAB-LEAM;Ativa;8093
PTI;LAB-SETORSUL;Ativa;5126
PTI;CORREDOR - 3 PISO / PTI B04E04S01;Ativa;16330
PTI;REITORIA-COLOR / PTI B04E04S01;Ativa;6147
VILA-A;Empréstimo-066F / Disponível VLA - 107;Disponível;3575
VILA-A;Empréstimo-06LL / Disponível VLA - 107;Disponível;6318
VILA-A;SALA-001 / Disponível VLA - 107;Disponível;44223
VILA-A;SALA-101 / Disponível VLA - 107;Disponível;44034
VILA-A;SALA-105 / Disponível VLA - 107;Disponível;20047
VILA-A;SALA-106 / Disponível VLA - 107;Disponível;40123
VILA-A;SALA-108 / Disponível VLA - 107;Disponível;17308
VILA-A;SALA-401 / Disponível VLA - 107;Disponível;24964
VILA-A;;Devolvida;755
VILA-A;;Devolvida;10198
VILA-A;;Devolvida;4861
VILA-A;;Devolvida;11558
VILA-A;;Devolvida;20585
VILA-A;;Devolvida;41737
VILA-A;;Devolvida;25035
VILA-A;;Devolvida;23003
VILA-A;;Devolvida;12640
VILA-A;;Devolvida;20006
VILA-A;;Devolvida;12273
VILA-A;;Devolvida;9823
VILA-A;;Devolvida;29279
VILA-A;;Devolvida;25649
VILA-A;;Devolvida;13714
VILA-A;;Devolvida;13934
